COUNT    | EVENT ACTION
-----------------------------------------------------
      40 | event.action:process create 
      21 | event.action:network connection detected
      20 | event.action:executed
      12 | event.action:image loaded*
       9 | event.action:userloginfailed
       8 | event.action:logged-in
       7 | event.action:enforce_strong_authentication
       7 | event.action:exec
       6 | event.action:change_application_setting
       6 | event.action:consolelogin
       6 | event.action:directory service changes
       5 | event.action:creation
       5 | event.action:deleterule
       5 | event.action:new-inboxrule
       4 | event.action:connection_attempted
       4 | event.action:cred_theft_event
       4 | event.action:deletedbcluster
       4 | event.action:exploit_event
       4 | event.action:file_classification_event
       4 | event.action:kernel_shellcode_event
       4 | event.action:load
       4 | event.action:modification
       4 | event.action:ransomware_event
       4 | event.action:storage.buckets.delete
       4 | event.action:storage.buckets.update
       4 | event.action:storage.setiampermissions
       4 | event.action:token_manipulation_event
       4 | event.action:token_protection_event
       4 | event.action:updateassumerolepolicy
       4 | event.action:v*.compute.routes.insert
       3 | event.action in ssh_login, user_login
       3 | event.action:add-mailboxpermission
       3 | event.action:assign_role
       3 | event.action:authorizesecuritygroupegress
       3 | event.action:connected-to
       3 | event.action:end
       3 | event.action:google.iam.admin.v*.createrole
       3 | event.action:google.iam.admin.v*.createserviceaccount
       3 | event.action:google.iam.admin.v*.createserviceaccountkey
       3 | event.action:google.iam.admin.v*.deleterole
       3 | event.action:google.iam.admin.v*.deleteserviceaccount
       3 | event.action:google.iam.admin.v*.deleteserviceaccountkey
       3 | event.action:google.iam.admin.v*.disableserviceaccount
       3 | event.action:google.logging.v*.configservicev*.deletebucket
       3 | event.action:google.logging.v*.configservicev*.deletesink
       3 | event.action:google.logging.v*.configservicev*.updatesink
       3 | event.action:google.pubsub.v*.publisher.createtopic
       3 | event.action:google.pubsub.v*.publisher.deletetopic
       3 | event.action:google.pubsub.v*.subscriber.createsubscription
       3 | event.action:google.pubsub.v*.subscriber.deletesubscription
       3 | event.action:io.k8s.authorization.rbac.v*.clusterrolebindings.create
       3 | event.action:logon-failed
       3 | event.action:policy.rule.update
       3 | event.action:start
       3 | event.action:v*.compute.networks.delete
       3 | event.action:v*.compute.routes.delete
       3 | event.action:zone.update
       2 | event.action:add_application
       2 | event.action:add_privilege
       2 | event.action:add_trusted_domains
       2 | event.action:added-member-to-group
       2 | event.action:addusertogroup
       2 | event.action:application.integration.rate_limit_exceeded
       2 | event.action:application.policy.sign_on.update
       2 | event.action:associatevpcwithhostedzone
       2 | event.action:assumedrole
       2 | event.action:assumerolewithsaml
       2 | event.action:authorize_api_client_access
       2 | event.action:create cache security group
       2 | event.action:create_role
       2 | event.action:createdbcluster
       2 | event.action:creategroup
       2 | event.action:createnetworkacl
       2 | event.action:createroute
       2 | event.action:createtrafficmirrorfilter
       2 | event.action:createtrail
       2 | event.action:deactivatemfadevice
       2 | event.action:delete cache security group
       2 | event.action:delete_role
       2 | event.action:deletealarms
       2 | event.action:deletebucketpolicy
       2 | event.action:deleteconfigrule
       2 | event.action:deletedetector
       2 | event.action:deleteflowlogs
       2 | event.action:deletegroup
       2 | event.action:deleteloggroup
       2 | event.action:deletelogstream
       2 | event.action:deletemounttarget
       2 | event.action:deletenetworkacl
       2 | event.action:deletetrail
       2 | event.action:deletewebacl
       2 | event.action:directory service access
       2 | event.action:disableebsencryptionbydefault
       2 | event.action:file created rule:filecreate
       2 | event.action:filemalwaredetected
       2 | event.action:getsessiontoken
       2 | event.action:group.privilege.grant
       2 | event.action:logged-in-special
       2 | event.action:lookup_requested
       2 | event.action:modified-user-account
       2 | event.action:modifysnapshotattribute
       2 | event.action:passwordrecoveryrequested
       2 | event.action:policy.lifecycle.deactivate
       2 | event.action:policy.lifecycle.delete
       2 | event.action:policy.lifecycle.update
       2 | event.action:policy.rule.deactivate
       2 | event.action:security.threat.detected
       2 | event.action:sendcommand
       2 | event.action:set-accepteddomain
       2 | event.action:stopconfigurationrecorder
       2 | event.action:stopdbcluster
       2 | event.action:stoplogging
       2 | event.action:system.api_token.create
       2 | event.action:system.api_token.revoke
       2 | event.action:system.email.account_unlock.sent_message
       2 | event.action:updatetrail
       2 | event.action:user-member-enumerated
       2 | event.action:user.account.lock
       2 | event.action:user.account.report_suspicious_activity_by_enduser
       2 | event.action:user.mfa.attempt_bypass
       2 | event.action:user.mfa.factor.deactivate
       2 | event.action:user.mfa.factor.reset_all
       2 | event.action:v*.compute.firewalls.delete
       2 | event.action:v*.compute.firewalls.insert
       2 | event.action:v*.compute.firewalls.patch
       1 | event.action in creation, rename
       1 | event.action:*.compute.firewalls.delete
       1 | event.action:*.compute.firewalls.insert
       1 | event.action:*.compute.firewalls.patch
       1 | event.action:2sv_disable
       1 | event.action:add member to role.
       1 | event.action:alerttriggered
       1 | event.action:app.generic.unauth_app_access_attempt
       1 | event.action:application.lifecycle.deactivate
       1 | event.action:application.lifecycle.delete
       1 | event.action:application.lifecycle.update
       1 | event.action:audit-log-cleared
       1 | event.action:authorization policy change
       1 | event.action:behavior_protection_event
       1 | event.action:bound-socket
