COUNT    | EXECUTABLE
-----------------------------------------------------
     250 | powershell.exe, pwsh.exe	Configuration management and task automation framework that consists of a command line shell and a related scripting language
     122 | cmd.exe                 Command line prompt utility
     103 | net.exe, net1.exe		Network Control Utility
      99 | rundll32.exe			Loads and runs 32-bit dynamic-link libraries (DLLs).
      97 | wscript.exe			Windows Script Host; executes VBScript files
      93 | regsvr32.exe			Command-line utility to register and unregister OLE controls in the Windows Registry
      86 | cscript.exe			Command-line version of the Windows Script Host 
      83 | mshta.exe			Microsoft HTML Application Host
      73 | svchost.exe			Generic host process for services
      66 | wmic.exe                Command-line interface for Windows Management Instrumentation (WMI)
      58 | services.exe			Service Control Manager which handles system services.
      54 | msbuild.exe			Microsoft Build Engine is a platform for building applications.
      52 | explorer.exe			Manages the Graphical Shell component of the Windows Operating System, including the file manager and desktop
      45 | installutil.exe		Command-line utility that allows you to install and uninstall server resources
      43 | regasm.exe			Assembly Registration tool adds entries to the registry
      41 | msiexec.exe			Windows Installer installs, maintains and removes software
      41 | smss.exe                Manages the startup of all user sessions in Windows
      39 | winword.exe			Microsoft Word text processing software
      38 | cmstp.exe			Microsoft Connection Manager Profile Installer
      38 | msxsl.exe			Command line utility to perform transformations on XML files. 
      37 | regsvcs.exe			Provides a runtime environment and code library for application development, testing, and execution
      37 | sc.exe			     Service Configuration Tool allows administrative users to establish a program as a Windows service
      35 | ieexec.exe			Microsoft IE Execute shell
      35 | wininit.exe			Windows Initialization application
      34 | certutil.exe			Displays certification authority (CA) configuration information; used to configure Certificate Services
      34 | werfault.exe			Windows Error Reporting process
      34 | winlogon.exe			Windows Logon, the Windows authentication utility
      33 | files\\.exe
      33 | microsoft.workflow.compiler.exe
      32 | excel.exe
      30 | netsh.exe
      30 | x86\\.exe
      29 | powerpnt.exe
      28 | schtasks.exe
      28 | wmiprvse.exe
      28 | xwizard.exe
      26 | bginfo.exe
      26 | cdb.exe
      26 | csi.exe
      26 | dnx.exe
      26 | fsi.exe
      26 | iexpress.exe
      26 | msaccess.exe
      26 | mspub.exe
      26 | odbcconf.exe
      26 | rcsi.exe
      25 | whoami.exe
      24 | atbroker.exe
      24 | outlook.exe
      23 | dllhost.exe
      23 | spoolsv.exe
      22 | iexplore.exe
      22 | reg.exe
      21 | arp.exe
      21 | nbtstat.exe
      21 | wermgr.exe
      20 | eqnedt32.exe
      20 | nltest.exe
      19 | conhost.exe
      19 | dsget.exe
      19 | dsquery.exe
      19 | gpresult.exe
      19 | hostname.exe
      19 | ipconfig.exe
      19 | netstat.exe
      19 | ping.exe
      19 | qprocess.exe
      19 | quser.exe
