COUNT    | REGISTRY PATH
-----------------------------------------------------
       6 | registry.path:"HKLM\\SOFTWARE\\Policies\\Microsoft\\Windows Defender\\DisableAntiSpyware"
       5 | registry.path:"*\\{06290BD*-48AA-11D2-8432-006008C3FBFC}\\*")
       5 | registry.path:"HK*}\\InprocServer32\\"
       4 | registry.path:("HKEY_USERS\\*Classes\\*\\InprocServer32\\", "HKEY_USERS\\*Classes\\*\\LocalServer32\\", "HKEY_USERS\\*Classes\\*\\DelegateExecute\\", "HKEY_USERS\\*Classes\\*\\TreatAs\\", "HKEY_USERS\\*Classes\\CLSID\\*\\ScriptletURL\\")
       3 | registry.path:"HKEY_USERS\\S-1-5-21-*_Classes\\CLSID\\*\\LocalServer32\\")
       3 | registry.path:"HKLM\\SOFTWARE\\Microsoft\\Windows NT\\CurrentVersion\\Schedule\\Configuration\\EnableAt"
       3 | registry.path:"HKLM\\SOFTWARE\\Policies\\Microsoft\\Windows Defender Security Center\\App
       3 | registry.path:"HKLM\\SOFTWARE\\Policies\\Microsoft\\Windows Defender\\Features\\TamperProtection"
       3 | registry.path:"HKLM\\SOFTWARE\\Policies\\Microsoft\\Windows Defender\\PUAProtection"
       3 | registry.path:"HKLM\\SOFTWARE\\Policies\\Microsoft\\Windows Defender\\Real-Time Protection\\DisableBehaviorMonitoring"
       3 | registry.path:"HKLM\\SOFTWARE\\Policies\\Microsoft\\Windows Defender\\Real-Time Protection\\DisableIntrusionPreventionSystem"
       3 | registry.path:"HKLM\\SOFTWARE\\Policies\\Microsoft\\Windows Defender\\Real-Time Protection\\DisableIOAVProtection"
       3 | registry.path:"HKLM\\SOFTWARE\\Policies\\Microsoft\\Windows Defender\\Real-Time Protection\\DisableRealtimeMonitoring"
       3 | registry.path:"HKLM\\SOFTWARE\\Policies\\Microsoft\\Windows Defender\\Real-Time Protection\\DisableScriptScanning"
       3 | registry.path:"HKLM\\SOFTWARE\\Policies\\Microsoft\\Windows Defender\\Reporting\\DisableEnhancedNotifications"
       3 | registry.path:"HKLM\\SOFTWARE\\Policies\\Microsoft\\Windows Defender\\SpyNet\\DisableBlockAtFirstSeen"
       3 | registry.path:"HKLM\\SOFTWARE\\Policies\\Microsoft\\Windows Defender\\SpyNet\\SpynetReporting"
       3 | registry.path:"HKLM\\SOFTWARE\\Policies\\Microsoft\\Windows Defender\\SpyNet\\SubmitSamplesConsent"
       3 | registry.path:"HKLM\\SOFTWARE\\Policies\\Microsoft\\Windows Defender\\Windows Defender Exploit Guard\\Controlled Folder Access\\EnableControlledFolderAccess"
       3 | registry.path:"HKLM\\SYSTEM\\*ControlSet*\\Services\\*\\Start"
       3 | registry.path:("HKLM\\SOFTWARE\\Microsoft\\Windows NT\\CurrentVersion\\Image File Execution Options\\*.exe\\Debugger", "HKLM\\SOFTWARE\\WOW6432Node\\Microsoft\\Windows NT\\CurrentVersion\\Image File Execution Options\\*\\Debugger", "HKLM\\SOFTWARE\\Microsoft\\Windows NT\\CurrentVersion\\SilentProcessExit\\*\\MonitorProcess", "HKLM\\SOFTWARE\\WOW6432Node\\Microsoft\\Windows NT\\CurrentVersion\\SilentProcessExit\\*\\MonitorProcess")
       2 | registry.path:"*\\Software\\Microsoft\\Internet Explorer\\Extensions\\*\\Script")
       2 | registry.path:"HKLM\\Software\\Policies\\Microsoft\\Windows NT\\Terminal Services\\Shadow")
       2 | registry.path:"HKLM\\SOFTWARE\\Policies\\Microsoft\\Windows\\PowerShell\\ScriptBlock Logging\\EnableScriptBlockLogging"
       2 | registry.path:"HKLM\\System\\*ControlSet*\\Services\\WinDefend\\Start"
       2 | registry.path:("HKEY_USERS\\*\\Environment\\windir", "HKEY_USERS\\*\\Environment\\systemroot")
       2 | registry.path:("HKEY_USERS\\*\\Software\\Micr osoft\\Windows\\CurrentVersion\\Explorer\\RunMRU\\*")
